"CUSTOMERID","FIRSTNAME","LASTNAME","ADDRESS","CITY","STATE","ZIPCODE","COUNTRY","PHONE","EMAIL","USERNAME","PASSWORD","CREDITCARDTYPE","CREDITCARDNUMBER","CARDHOLDERNAME","SECURITYCODE","EXPIRATIONDATE","BILLINGADDRESS","BILLINGCITY","BILLINGSTATE","BILLINGZIPCODE","BILLINGCOUNTRY","BILLINGMATCHSHIPPING"
20,"Brian                                             ","Swans                                             ","567 Fall Blvd                                                                                       ","Houston                                           ","TX                                                ",12347,"USA                                               ",7895672345,"bs647@gmail.com                                                                                     ","bs465                                             ","nothing                                           ","Visa                                              ",6789456734562345,"Brian Swans                                       ",289,25-OCT-27,"3675 Market Street                                                                                  ","Philadelphia                                      ","PA                                                ",19130,"USA                                               ","NO "
21,"Alice                                             ","Nguyen                                            ","789 Colombus Blvd                                                                                   ","Philadelphia                                      ","PA                                                ",19147,"USA                                               ",3456785678,"anguyen@gmail.com                                                                                   ","anguyen                                           ","dontwanttotell123                                 ","Visa                                              ",6789098734562345,"Alice Nguyen                                      ",789,25-DEC-25,"789 Colombus Blvd                                                                                   ","Philadelphia                                      ","PA                                                ",19147,"USA                                               ","YES"
22,"Hana                                              ","Walker                                            ","678 Haddonfield Road                                                                                ","New Jersey                                        ","NJ                                                ",8045,"USA                                               ",8567890456,"hanaxinhxinh@gmail.com                                                                              ","hana45                                            ","pretty_hana                                       ","MasterCard                                        ",9087567845321234,"Hana Walkers                                      ",678,25-JAN-28,"678 Haddonfield Road                                                                                ","New Jersey                                        ","NJ                                                ",8045,"USA                                               ","YES"
23,"Rose                                              ","Phan                                              ","123 Cherry Hill Road                                                                                ","New Jersey                                        ","NJ                                                ",8044,"USA                                               ",8567890987,"roserose567@yahoo.com                                                                               ","rosie345                                          ","beautiful_Rosies                                  ","Visa                                              ",8907567843254321,"Rose Phan                                         ",654,25-NOV-30,"3365 Market Street                                                                                  ","Philadelphia                                      ","PA                                                ",19134,"USA                                               ","NO "
6,"Patricia                                          ","Kenner                                            ","1027 Hamkins Street                                                                                 ","Cambridge                                         ","MA                                                ",2138,"USA                                               ",3182738021,"pkenner@gmail.com                                                                                   ","pkenner                                           ","rockroad                                          ","MasterCard                                        ",3123723182802378,"Patricia Kenner                                   ",383,08-AUG-23,"1027 Hamkins Street                                                                                 ","Cambridge                                         ","MA                                                ",2138,"USA                                               ","YES"
7,"Anne                                              ","Jones                                             ","723 Linkback Street                                                                                 ","New Orleans                                       ","LA                                                ",70112,"USA                                               ",2183022128,"annejones@gmail.com                                                                                 ","ajones                                            ","VanillaBean                                       ","Visa                                              ",8102720132011011,"Anne Jones                                        ",723,12-DEC-23,"723 Linback Street                                                                                  ","New Orleans                                       ","LA                                                ",70112,"USA                                               ","YES"
8,"Amy                                               ","Hasselback                                        ","2780 Namens Street                                                                                  ","Southside                                         ","NJ                                                ",28107,"USA                                               ",8721820371,"ahasselbeck@gmail.com                                                                               ","ahasselbeck                                       ","Macchiato                                         ","Discover                                          ",3281712087392223,"Amy Hasselbeck                                    ",220,01-JAN-23,"2780 Namens Street                                                                                  ","Southside                                         ","NJ                                                ",28107,"USA                                               ","YES"
9,"Dave                                              ","Borbeck                                           ","273 Rosedale Street                                                                                 ","Newark                                            ","NJ                                                ",28197,"USA                                               ",2013272830,"daveborbeck@gmail.com                                                                               ","daveborbeck                                       ","FrozenYogurt                                      ","Visa                                              ",2733012837212081,"Dave Borbeck                                      ",829,03-MAR-23,"273 Rosedale Street                                                                                 ","Newark                                            ","NJ                                                ",28197,"USA                                               ","YES"
10,"Sam                                               ","Davidson                                          ","1700 Jeffrey Street                                                                                 ","Northside                                         ","NJ                                                ",28197,"USA                                               ",7102313827,"amdavidson@gmail.com                                                                                ","samdavidson                                       ","PeanutButter                                      ","MasterCard                                        ",3827102722180127,"Sam Davidson                                      ",617,03-MAR-23,"1700 Jeffrey Street                                                                                 ","Northside                                         ","NJ                                                ",28197,"USA                                               ","YES"
11,"Sarah                                             ","Sanders                                           ","182 Strahle Street                                                                                  ","Philadelphia                                      ","PA                                                ",19114,"USA                                               ",2153842738,"sarahsanders@gmail.com                                                                              ","sarahsanders                                      ","BeautyQueen1236!2                                 ","Amex                                              ",3802102971320382,"Sarah Sanders                                     ",20,04-APR-23,"182 Strahle Street                                                                                  ","Philadelphia                                      ","PA                                                ",19114,"USA                                               ","YES"
12,"Ron                                               ","Fitzgerald                                        ","8230 Welsh Road                                                                                     ","Buffalo                                           ","NY                                                ",20173,"USA                                               ",2813937203,"ronfitzgerald@gmail.com                                                                             ","ronfitzgerald                                     ","JellyorJam69!                                     ","Amex                                              ",8372120938273849,"Ron Fitzgerald                                    ",292,08-OCT-23,"8230 Welsh Road                                                                                     ","Buffalo                                           ","NY                                                ",20173,"USA                                               ","YES"
13,"Linda                                             ","Moore                                             ","327 Ree Street                                                                                      ","Miami                                             ","FL                                                ",28170,"USA                                               ",8132937739,"lindamoore@gmail.com                                                                                ","lindamoore                                        ","CandyCane8211!                                    ","Mastercard                                        ",3710213278023822,"Linda Moore                                       ",812,22-DEC-23,"327 Ree Street                                                                                      ","Miami                                             ","FL                                                ",28170,"USA                                               ","YES"
14,"Tina                                              ","Deen                                              ","802 Drummond Road                                                                                   ","Staten Island                                     ","NY                                                ",21208,"USA                                               ",2123780382,"tinadeen@gmail.com                                                                                  ","tinadeen                                          ","Spaghetti!23                                      ","Visa                                              ",2810374310283721,"Tina Deen                                         ",412,02-FEB-23,"802 Drummond Road                                                                                   ","Staten Island                                     ","NY                                                ",21208,"USA                                               ","YES"
24,"Drake                                             ","Oconnor                                           ","89 Vermont St.
Windsor Mill                                                                         ","Bailtemore                                        ","MD                                                ",21244,"USA                                               ",7249343305,"DrakeOconnor@gmail.com                                                                              ","DO001                                             ","DNU%y48?Z%s#Q66B                                  ","Switch                                            ",4555789976147965,"Drake Oconnor                                     ",233,19-JUL-22,"89 Vermont St.
Windsor Mill                                                                         ","Bailtemore                                        ","MD                                                ",21244,"USA                                               ","Yes"
25,"Reilly                                            ","Sweeney                                           ","Edgefield Drive
Fort Walton Beach                                                                   ","San Fransisco                                     ","CA                                                ",1201,"USA                                               ",5583347968,"ReillySweeney@gmail.com                                                                             ","RS001                                             ","3#5q1NpalXpE5$hv                                  ","MasterCard                                        ",5493937091709408,"Reilly Sweeney                                    ",232,18-APR-23,"Edgefield Drive
Fort Walton Beach                                                                   ","San Fransisco                                     ","CA                                                ",1201,"USA                                               ","Yes"
26,"Moshe                                             ","Day                                               ","Briarwood St.
Somerset                                                                              ","Gerogetown                                        ","IN                                                ",24401,"USA                                               ",4208057877,"MosheDay@gmail.com                                                                                  ","MD001                                             ","3ZF39L8Q5osj$8C&                                  ","MasterCard                                        ",6011070365083614,"Moshe Day                                         ",323,25-FEB-23,"Briarwood St.
Somerset                                                                              ","Gerogetown                                        ","IN                                                ",24401,"USA                                               ","Yes"
27,"Mya                                               ","Mejia                                             ","Del Monte Lane
Flemington                                                                           ","Chicago                                           ","OH                                                ",2148,"USA                                               ",6692637501,"MyaMejia@gmail.co                                                                                   ","MM001                                             ","h3!!kNui2gM3p$9C                                  ","Visa                                              ",3770857293055790,"Mya Mejia                                         ",232,22-FEB-23,"Del Monte Lane
Flemington                                                                           ","Chicago                                           ","OH                                                ",2148,"USA                                               ","Yes"
28,"Ezra                                              ","Dominguez                                         ","9022 South Hill Field Dr.
North Tonawanda                                                           ","Philadelphia                                      ","PA                                                ",6410,"USA                                               ",4222841389,"EzraDominguez@gmail.co                                                                              ","ED001                                             ","H5XsGBq6K5@M@4AZ                                  ","Visa                                              ",6011778687160593,"Ezra Dominguez                                    ",323,09-JUL-23,"9022 South Hill Field Dr.
North Tonawanda                                                           ","Philadelphia                                      ","PA                                                ",6410,"USA                                               ","Yes"
29,"Collin                                            ","Webb                                              ","8505 South Airport St.
West Babylon                                                                 ","Richmond                                          ","VA                                                ",3053,"USA                                               ",7337590344,"CollinWebb@gmail.co                                                                                 ","CW001                                             ","6~*5hyBty40!wdrR                                  ","Amex                                              ",4556146025934168,"Collin Webb                                       ",232,09-JUN-23,"8505 South Airport St.
West Babylon                                                                 ","Richmond                                          ","VA                                                ",3053,"USA                                               ","Yes"
30,"Maci                                              ","Kemp                                              ","Harvey Street
San Pablo                                                                             ","Manchaster                                        ","NH                                                ",23228,"USA                                               ",9043296056,"KempMaci@gmail.com                                                                                  ","KM001                                             ","5D77222Hsg0L1                                     ","MasterCard                                        ",4897699227701023,"Maci Kemp                                         ",232,30-MAR-23,"Harvey Street
San Pablo                                                                             ","Manchaster                                        ","NH                                                ",23228,"USA                                               ","Yes"
31,"Iliana                                            ","Choi                                              ","8816 Harvard St.
Mishawaka
                                                                         ","New Haven                                         ","CT                                                ",60030,"USA                                               ",4166206339,"IlianaChoi@gmail.com                                                                                ","IC001                                             ","3YTy34hcRJ06?50M                                  ","Visa                                              ",4532248231004346,"Iliana Choi                                       ",132,21-FEB-23,"Mishawaka
                                                                                          ","New Haven                                         ","CT                                                ",60030,"USA                                               ","Yes"
32,"Cooper                                            ","Gutierrez                                         ","Forest Dr.
Willoughby                                                                               ","Boston                                            ","MA                                                ",19438,"USA                                               ",4136420357,"CooperGutierrez@gmail.com                                                                           ","CG001                                             ","o6JCjk2TWub3--8%                                  ","Amex                                              ",6011983243108231,"Cooper Gutierrez                                  ",232,09-SEP-23,"Forest Dr.
Willoughby                                                                               ","Boston                                            ","MA                                                ",19438,"USA                                               ","Yes"
33,"Emma                                              ","Clay                                              ","Cedarwood Drive
Harleysville                                                                        ","Richmond                                          ","VA                                                ",44094,"USA                                               ",9133160013,"EmmaClay@gmail.com                                                                                  ","EC002                                             ","JGPp?CSg3l%o61_O                                  ","Visa                                              ",6011588392123186,"Emma Clay                                         ",232,22-FEB-23,"Cedarwood Drive
Harleysville                                                                        ","Richmond                                          ","VA                                                ",44094,"USA                                               ","Yes"
34,"Genevieve                                         ","Blevins                                           ","328 Willow St.
Grayslake                                                                            ","Boston                                            ","MA                                                ",46544,"USA                                               ",2592512948,"GenevieveBlevins@gmail.com                                                                          ","GB001                                             ","x^4B+Rd1+J1L*0?T                                  ","Amex                                              ",4539418711836953,"Genevieve Blevins                                 ",234,09-MAR-23,"328 Willow St.
Grayslake                                                                            ","Boston                                            ","MA                                                ",46544,"USA                                               ","Yes"
35,"Amy                                               ","Bevins                                            ","58 South Branch Avenue
Henrico                                                                      ","Richmond                                          ","VA                                                ",94806,"USA                                               ",5824987713,"AmyBevins@gmail.com                                                                                 ","AB001                                             ","8d4m?uyZo~S#_Se4                                  ","Visa                                              ",4929671092878428,"Amy Bevins                                        ",232,09-FEB-23,"58 South Branch Avenue
Henrico                                                                      ","Richmond                                          ","VA                                                ",94806,"USA                                               ","Yes"
